#PARAMETERS
NumberOfNodes 50
DelayThreshold 1
NumberOfIterations 20
ProbabilityThreshold 0,1
MaxSize 5

#DELAY_MATRIX
Node1	0	0,262	0,421	0,25	0,482	0,864	0,938	0,286	0,196	0,624	0,697	0,736	0,078	0,772	0,199	0,605	0,055	0,645	0,732	0,583	0,141	0,209	0,805	0,517	0,743	0,848	0,218	0,658	0,568	0,09	0,351	0,284	0,494	0,416	0,265	0,563	0,388	0,896	0,887	0,376	0,715	0,593	0,723	0,783	0,057	0,724	0,89	0,793	0,818	0,268
Node2	0,528	0	0,754	0,242	0,975	0,819	0,912	0,552	0,343	0,717	0,395	0,887	0,245	0,542	0,161	0,312	0,533	0,481	0,018	0,914	0,527	0,683	0,142	0,449	0,16	0,496	0,566	0,955	0,059	0,479	0,212	0,367	0,114	0,487	0,367	0,575	0,671	0,553	0,228	0,837	0,929	0,669	0,599	0,45	0,169	0,827	0,324	0,335	0,587	0,304
Node3	0,336	0,361	0	0,69	0,145	0,241	0,254	0,443	0,854	0,895	0,404	0,059	0,048	0,942	0,547	0,174	0,554	0,087	0,742	0,326	0,822	0,813	0,377	0,511	0,703	0,493	0,8	0,207	0,478	0,713	0,783	0,473	0,86	0,21	0,854	0,966	0,479	0,198	0,401	0,515	0,285	0,62	0,38	0,038	0,71	0,668	0,753	0,473	0,13	0,382
Node4	0,23	0,238	0,523	0	0,165	0,032	0,266	0,687	0,185	0,041	0,644	0,291	0,997	0,458	0,613	0,77	0,812	0,173	0,229	0,408	0,045	0,391	0,158	0,247	0,173	0,561	0,398	0,971	0,794	0,815	0,743	0,638	0,553	0,132	0,188	0,059	0,68	0,888	0,518	0,539	0,888	0,999	0,386	0,49	0,524	0,736	0,898	0,453	0,689	0,614
Node5	0,041	0,576	0,417	0,335	0	0,636	0,63	0,651	0,792	0,73	0,979	0,854	0,15	0,646	0,644	0,215	0,63	0,798	0,807	0,7	0,611	0,131	0,809	0,066	0,227	0,161	0,943	0,466	0,689	0,135	0,044	0,766	0,753	0,314	0,639	0,325	0,521	0,238	0,956	0,694	0,388	0,586	0,237	0,166	0,305	0,594	0,247	0,648	0,359	0,808
Node6	0,398	0,754	0,307	0,488	0,368	0	0,796	0,803	0,378	0,915	0,994	0,503	0,834	0,726	0,132	0,582	0,766	0,228	0,849	0,794	0,918	0,739	0,917	0,015	0,413	0,49	0,199	0,197	0,629	0,088	0,591	0,372	0,024	0,369	0,264	0,071	0,645	0,947	0,936	0,835	0,678	0,016	0,906	0,962	0,74	0,905	0,965	0,24	0,672	0,854
Node7	0,803	0,994	0,895	0,793	0,367	0,574	0	0,039	0,664	0,278	0,068	0,026	0,481	0,209	0,439	0,567	0,383	0,626	0,816	0,472	0,398	0,068	0,671	0,414	0,32	0,828	0,861	0,554	0,557	0,244	0,162	0,935	0,726	0,984	0,154	0,596	0,594	0,609	0,989	0,98	0,263	0,947	0,439	0,153	0,977	0,747	0,414	0,612	0,011	0,948
Node8	0,758	0,339	0,593	0,574	0,305	0,106	0,397	0	0,879	0,306	0,527	0,009	0,247	0,354	0,137	0,569	0,854	0,789	0,2	0,082	0,33	0,917	0,832	0,596	0,862	0,164	0,426	0,562	0,645	0,919	0,803	0,014	0,407	0,866	0,424	0,872	0,33	0,66	0,193	0,109	0,372	0,049	0,53	0,139	0,484	0,234	0,323	0,018	0,942	0,273
Node9	0,61	0,525	0,828	0,831	0,973	0,196	0,324	0,927	0	0,613	0,232	0,973	0,562	0,131	0,513	0,549	0,642	0,343	0,414	0,694	0,204	0,215	0,717	0,053	0,662	0,59	0,927	0,968	0,506	0,035	0,615	0,596	0,12	0,021	0,024	0,401	0,36	0,465	0,601	0,727	0,528	0,195	0,771	0,103	0,711	0,581	0,746	0,909	0,05	0,747
Node10	0,408	0,788	0,572	0,903	0,142	0,679	0,586	0,539	0,46	0	0,67	0,674	0,086	0,701	0,949	0,511	0,774	0,801	0,784	0,084	0,503	0,06	0,424	0,521	0,645	0,95	0,207	0,118	0,833	0,385	0,129	0,496	0,452	0,892	0,443	0,976	0,911	0,954	0,843	0,715	0,325	0,113	0,525	0,699	0,994	0,595	0,826	0,933	0,252	0,689
